# [(min:en_allen + var:en_allen)]
# Property Label: $metal$; Unit of the Property: Unitless
# # Samples in Convex Hull Overlap Region: 4894;# Samples SVM Misclassified: 1844
# Plane Divider
# Task     w0                      b
# 0,       6.489856239434699e-02, -1.740464908118366e+00, 
# Feature Rung, Units, and Expressions
# 0;  1; Unitless;                                         23|7|add; (min:en_allen + var:en_allen); $\left(min:en_{allen} + var:en_{allen}\right)]$; (min:en_allen + var:en_allen); min:en_allen,var:en_allen
# Number of Samples Per Task
# Task,   n_mats_train            
# 0,      5143                  

# Property Value      ,  Property Value (EST) ,  Feature 0 Value      
 1.000000000000000e+00,  0.000000000000000e+00,  1.740232225000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  2.538327465345045e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.700195555555555e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.804428888888889e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.144448640816326e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.960000000000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.698988055555555e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.406011222222222e+01
 1.000000000000000e+00,  1.000000000000000e+00,  5.040024924305555e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.238769600000000e+01
 0.000000000000000e+00,  1.000000000000000e+00,  3.871854586776860e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.731265600000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.333367180259354e+01
 1.000000000000000e+00,  1.000000000000000e+00,  6.937351848979593e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.138603025000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.177802500000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  2.946951875000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.399851200000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.318717268750000e+01
 0.000000000000000e+00,  1.000000000000000e+00,  3.380625560294944e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.480568055555556e+01
 0.000000000000000e+00,  1.000000000000000e+00,  3.335473024999999e+01
 0.000000000000000e+00,  0.000000000000000e+00,  9.543401769092348e+00
 1.000000000000000e+00,  0.000000000000000e+00,  1.870902222222222e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.333338700000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.591414400000001e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.660359183673469e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.313192025000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.425890000000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.481168888888889e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.778738400000000e+01
 0.000000000000000e+00,  1.000000000000000e+00,  3.873553626530612e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.949880000000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  2.467597162960822e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.868381259739697e+01
 1.000000000000000e+00,  1.000000000000000e+00,  6.448310292728122e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.480702500000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  2.082846938775510e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.397016000000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  6.209053422222223e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.514744736000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.100240000000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.011602500000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.246437988761606e+01
 0.000000000000000e+00,  1.000000000000000e+00,  3.728267500000000e+01
 0.000000000000000e+00,  1.000000000000000e+00,  3.030982400000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.976157088888888e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.390040168749999e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.602954449999999e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.177102500000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.258810000000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.743625600000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.062119755555556e+01
 0.000000000000000e+00,  1.000000000000000e+00,  4.043571268749999e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.236240000000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.040959013888889e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.206144897959184e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.291337866666666e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.214689233404931e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.278560000000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.332610612244898e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.046579999999999e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.345535555555555e+01
 0.000000000000000e+00,  0.000000000000000e+00,  2.129268088888888e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.613725625000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.219672222222222e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.063389600000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.455000000000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.598342222222222e+01
 0.000000000000000e+00,  0.000000000000000e+00,  2.470287532162960e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.676438791836734e+01
 0.000000000000000e+00,  0.000000000000000e+00,  2.344388888888889e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.223369018750000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.302873600000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.032937190082644e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.222922500000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.557782091493056e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.677876874999999e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.062119755555556e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.871421874999999e+01
 0.000000000000000e+00,  1.000000000000000e+00,  3.393368888888890e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.617742222222222e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.098842222222222e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.627043184000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.178702222222222e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.397008888888889e+01
 0.000000000000000e+00,  0.000000000000000e+00,  9.324152000000000e+00
 0.000000000000000e+00,  0.000000000000000e+00,  1.190574136000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.257629600000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.693293877551020e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.294501875000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.203704435026427e+01
 0.000000000000000e+00,  1.000000000000000e+00,  7.216088753719009e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.892415206611570e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.137116734693878e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.033715555555555e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.945562500000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  2.732712839506173e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.992345081632653e+01
 1.000000000000000e+00,  1.000000000000000e+00,  2.696532800000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.275928050968685e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.657575555555556e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.495367500000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.525116200000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.886426875000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.887727755555555e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.422320000000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.485008888888889e+01
 0.000000000000000e+00,  1.000000000000000e+00,  4.838062222222223e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.113000000000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.334394025000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.044999999999999e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.097409600000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.870452222222222e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.974790400000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.212969422222222e+01
 0.000000000000000e+00,  1.000000000000000e+00,  3.168329599999999e+01
 1.000000000000000e+00,  1.000000000000000e+00,  5.441468357095629e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.936335555555555e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.178702222222222e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.205475555555556e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.442312653061225e+01
 0.000000000000000e+00,  1.000000000000000e+00,  3.820373088888888e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.569237739278760e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.276630000000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.342341875000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.437028200000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  5.211000000000000e+00
 0.000000000000000e+00,  1.000000000000000e+00,  9.868991755555555e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.495645000000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.021183347222222e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.366897600000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.035493973296568e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.548642222222222e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.722691877551021e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.036341151082398e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.186720088888888e+01
 1.000000000000000e+00,  1.000000000000000e+00,  2.823758655999999e+01
 0.000000000000000e+00,  1.000000000000000e+00,  4.573544791666666e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.515058677685950e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.021443668750000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.121055555555556e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.573863300000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.187847222222222e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.356868458333333e+01
 1.000000000000000e+00,  1.000000000000000e+00,  5.272179200000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.652230000000000e+01
 0.000000000000000e+00,  1.000000000000000e+00,  3.167875167709261e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.052437430555555e+01
 0.000000000000000e+00,  0.000000000000000e+00,  2.165745311460218e+01
 1.000000000000000e+00,  1.000000000000000e+00,  2.708462488888889e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.265576875000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.815291875000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.593600400000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  2.880541599999999e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.206144897959184e+01
 0.000000000000000e+00,  0.000000000000000e+00,  9.442328167701467e+00
 1.000000000000000e+00,  0.000000000000000e+00,  1.624357448979592e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.581420000000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.218890000000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  2.389802222222222e+01
 1.000000000000000e+00,  1.000000000000000e+00,  2.952101718750000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.991575555555555e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.014083155102040e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.178102500000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.201727391124401e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.588567906122449e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.083833888888888e+01
 0.000000000000000e+00,  1.000000000000000e+00,  3.711309752066116e+01
 1.000000000000000e+00,  1.000000000000000e+00,  2.844628999999999e+01
 1.000000000000000e+00,  1.000000000000000e+00,  2.687895155709342e+01
 0.000000000000000e+00,  1.000000000000000e+00,  3.820373088888888e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.014083155102040e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.730789518749999e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.270644029785345e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.616778920987654e+01
 1.000000000000000e+00,  1.000000000000000e+00,  5.745316875000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.041514688888889e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.312675510204082e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.174000000000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.468385355555555e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.079876200000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.580902644628099e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.634000000000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.839522418750000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.268796875000000e+01
 0.000000000000000e+00,  1.000000000000000e+00,  3.540036388888888e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.701160000000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.479877600000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.597553333333333e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.986124081632652e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.375828096000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.709211125972407e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.475505016000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.870452222222222e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.213000000000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.098050191951983e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.490292253411727e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.249084620408163e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.485631648979592e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.480702500000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.701635555555556e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.864508163265306e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.268796875000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.212969422222222e+01
 0.000000000000000e+00,  0.000000000000000e+00,  8.985596000000001e+00
 0.000000000000000e+00,  0.000000000000000e+00,  1.245433224570736e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.308000000000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.121268888888889e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.212358766535159e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.431010000000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.016104768750000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.968085600000000e+01
 0.000000000000000e+00,  1.000000000000000e+00,  3.475862773437500e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.271239022222223e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.906630384000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.764980731008335e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.329738400000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.854426938775510e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.296801600000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.179422500000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.039000000000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.346468571428571e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.527058088516217e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.717964375000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.531993166666667e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.239086400000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.222720000000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  2.075230710884275e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.128210000000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  5.212641875000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.574295339506173e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.677114069387755e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.559408888888889e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.261902500000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.330218400000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.303312168750000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.492622500000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  2.439983200000000e+01
 0.000000000000000e+00,  1.000000000000000e+00,  3.275557695999998e+01
 0.000000000000000e+00,  0.000000000000000e+00,  5.376682250000000e+00
 1.000000000000000e+00,  1.000000000000000e+00,  2.880541599999999e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.086035555555555e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.373448025000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.445580000000000e+01
 0.000000000000000e+00,  1.000000000000000e+00,  3.207139022222222e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.519268163265306e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.405450612244898e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.296338888888889e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.260646666666667e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.016366755555555e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.741763050000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.183620900000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.054345455555555e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.337553600000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.335102500000000e+01
 0.000000000000000e+00,  1.000000000000000e+00,  5.057727448979592e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.339150400000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  7.513563258333333e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.889015555555556e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.310187500000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.268142222222222e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.370602500000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.022202222222222e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.514744736000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.002497200000000e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.865111701682612e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.338338888888889e+01
 0.000000000000000e+00,  0.000000000000000e+00,  6.540866888888889e+00
 0.000000000000000e+00,  1.000000000000000e+00,  2.720545400000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.050601355555555e+01
 0.000000000000000e+00,  1.000000000000000e+00,  4.742419966211930e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.454921875000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  2.853591093750000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  5.226222500000001e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.433440000000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.619114755555555e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.846768888888889e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.255312866666667e+01
 1.000000000000000e+00,  0.000000000000000e+00,  2.090836489223677e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.428931739254485e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.176022500000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.614388888888889e+01
 0.000000000000000e+00,  0.000000000000000e+00,  9.717683000000001e+00
 1.000000000000000e+00,  1.000000000000000e+00,  6.423075224999999e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.373397555555556e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.824243912244897e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.509123967346939e+01
 0.000000000000000e+00,  0.000000000000000e+00,  5.491055555555556e+00
 1.000000000000000e+00,  0.000000000000000e+00,  1.295810000000000e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.266184967543864e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.446756734693878e+01
 1.000000000000000e+00,  0.000000000000000e+00,  1.064312500000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  4.431828888888889e+01
 0.000000000000000e+00,  0.000000000000000e+00,  1.156064453558584e+01
 1.000000000000000e+00,  1.000000000000000e+00,  8.943307685394417e+01
 0.000000000000000e+00,  0.000000000000000e+00,  2.269000000000000e+01
 1.000000000000000e+00,  1.000000000000000e+00,  3.458792403819427e+01
