Descriptor,XGB_Importance
ave:c6_gb,2.6957717636832967e-05
ave:sound_velocity,2.559393033152446e-05
min:lattice_constant,2.251517798868008e-05
ave:vdw_radius,2.176715679524932e-05
min:heat_capacity_mass,2.124588718288578e-05
ave:atomic_volume,0.0
ave:atomic_weight,0.0
ave:covalent_radius_cordero,0.0
ave:covalent_radius_pyykko,0.0
ave:covalent_radius_pyykko_double,0.0
ave:covalent_radius_slater,0.0
ave:en_pauling,0.0
ave:gs_bandgap,0.0
ave:gs_est_fcc_latcnt,0.0
ave:gs_volume_per,0.0
ave:hhi_p,0.0
ave:icsd_volume,0.0
ave:evaporation_heat,0.0
ave:heat_of_formation,0.0
ave:lattice_constant,0.0
ave:mendeleev_number,0.0
ave:molar_volume,0.0
ave:num_unfilled,0.0
ave:num_valance,0.0
ave:num_d_unfilled,0.0
ave:num_d_valence,0.0
ave:num_f_unfilled,0.0
ave:num_f_valence,0.0
ave:num_p_unfilled,0.0
ave:num_p_valence,0.0
ave:num_s_unfilled,0.0
ave:num_s_valence,0.0
ave:period,0.0
ave:specific_heat,0.0
ave:vdw_radius_alvarez,0.0
ave:vdw_radius_mm3,0.0
sum:atomic_radius,0.0
sum:atomic_radius_rahm,0.0
sum:atomic_weight,0.0
sum:boiling_point,0.0
sum:covalent_radius_pyykko,0.0
sum:covalent_radius_pyykko_double,0.0
sum:covalent_radius_slater,0.0
sum:dipole_polarizability,0.0
sum:electron_negativity,0.0
sum:electron_affinity,0.0
sum:en_allen,0.0
sum:en_ghosh,0.0
sum:en_pauling,0.0
sum:first_ion_en,0.0
sum:fusion_enthalpy,0.0
sum:gs_bandgap,0.0
sum:gs_energy,0.0
sum:gs_est_bcc_latcnt,0.0
sum:gs_est_fcc_latcnt,0.0
sum:gs_mag_moment,0.0
sum:gs_volume_per,0.0
sum:hhi_r,0.0
sum:evaporation_heat,0.0
sum:mendeleev_number,0.0
sum:melting_point,0.0
sum:molar_volume,0.0
sum:num_unfilled,0.0
sum:num_valance,0.0
sum:num_d_unfilled,0.0
sum:num_d_valence,0.0
sum:num_f_unfilled,0.0
sum:num_f_valence,0.0
sum:num_p_unfilled,0.0
sum:num_p_valence,0.0
sum:num_s_unfilled,0.0
sum:num_s_valence,0.0
sum:period,0.0
sum:specific_heat,0.0
sum:vdw_radius,0.0
sum:vdw_radius_alvarez,0.0
sum:vdw_radius_mm3,0.0
sum:vdw_radius_uff,0.0
sum:Polarizability,0.0
var:atomic_radius_rahm,0.0
var:atomic_volume,0.0
var:atomic_weight,0.0
var:bulk_modulus,0.0
var:c6_gb,0.0
var:covalent_radius_cordero,0.0
var:covalent_radius_pyykko,0.0
var:covalent_radius_pyykko_double,0.0
var:covalent_radius_slater,0.0
var:dipole_polarizability,0.0
var:en_ghosh,0.0
var:en_pauling,0.0
var:gs_bandgap,0.0
var:gs_est_bcc_latcnt,0.0
var:gs_est_fcc_latcnt,0.0
var:gs_mag_moment,0.0
var:gs_volume_per,0.0
var:hhi_r,0.0
var:icsd_volume,0.0
var:evaporation_heat,0.0
var:lattice_constant,0.0
var:mendeleev_number,0.0
var:molar_volume,0.0
var:num_unfilled,0.0
var:num_valance,0.0
var:num_d_unfilled,0.0
var:num_d_valence,0.0
var:num_f_unfilled,0.0
var:num_f_valence,0.0
var:num_p_unfilled,0.0
var:num_s_unfilled,0.0
var:num_s_valence,0.0
var:period,0.0
var:specific_heat,0.0
var:vdw_radius,0.0
var:vdw_radius_alvarez,0.0
var:vdw_radius_mm3,0.0
var:sound_velocity,0.0
var:Polarizability,0.0
max:atomic_number,0.0
max:atomic_radius,0.0
max:atomic_radius_rahm,0.0
max:atomic_volume,0.0
max:atomic_weight,0.0
max:boiling_point,0.0
max:bulk_modulus,0.0
max:c6_gb,0.0
max:covalent_radius_cordero,0.0
max:covalent_radius_pyykko,0.0
max:covalent_radius_pyykko_double,0.0
max:covalent_radius_pyykko_triple,0.0
max:covalent_radius_slater,0.0
max:density,0.0
max:dipole_polarizability,0.0
max:electron_negativity,0.0
max:electron_affinity,0.0
max:en_allen,0.0
max:en_ghosh,0.0
max:en_pauling,0.0
max:first_ion_en,0.0
max:fusion_enthalpy,0.0
max:gs_bandgap,0.0
max:gs_energy,0.0
max:gs_est_bcc_latcnt,0.0
max:gs_est_fcc_latcnt,0.0
max:gs_mag_moment,0.0
max:gs_volume_per,0.0
max:hhi_p,0.0
max:hhi_r,0.0
max:heat_capacity_mass,0.0
max:heat_capacity_molar,0.0
max:icsd_volume,0.0
max:evaporation_heat,0.0
max:heat_of_formation,0.0
max:mendeleev_number,0.0
max:melting_point,0.0
max:molar_volume,0.0
max:num_unfilled,0.0
max:num_valance,0.0
max:num_d_unfilled,0.0
max:num_d_valence,0.0
max:num_f_unfilled,0.0
max:num_f_valence,0.0
max:num_p_unfilled,0.0
max:num_p_valence,0.0
max:num_s_unfilled,0.0
max:num_s_valence,0.0
max:period,0.0
max:specific_heat,0.0
max:thermal_conductivity,0.0
max:vdw_radius,0.0
max:vdw_radius_alvarez,0.0
max:vdw_radius_mm3,0.0
max:vdw_radius_uff,0.0
max:Polarizability,0.0
min:atomic_number,0.0
min:atomic_radius,0.0
min:atomic_radius_rahm,0.0
min:atomic_weight,0.0
min:boiling_point,0.0
min:bulk_modulus,0.0
min:c6_gb,0.0
min:covalent_radius_cordero,0.0
min:covalent_radius_pyykko,0.0
min:covalent_radius_pyykko_double,0.0
min:covalent_radius_pyykko_triple,0.0
min:covalent_radius_slater,0.0
min:density,0.0
min:dipole_polarizability,0.0
min:electron_negativity,0.0
min:electron_affinity,0.0
min:en_allen,0.0
min:en_ghosh,0.0
min:en_pauling,0.0
min:first_ion_en,0.0
min:fusion_enthalpy,0.0
min:gs_bandgap,0.0
min:gs_energy,0.0
min:gs_est_bcc_latcnt,0.0
min:gs_est_fcc_latcnt,0.0
min:gs_mag_moment,0.0
min:gs_volume_per,0.0
min:hhi_p,0.0
min:hhi_r,0.0
min:heat_capacity_molar,0.0
min:icsd_volume,0.0
min:evaporation_heat,0.0
min:heat_of_formation,0.0
min:mendeleev_number,0.0
min:melting_point,0.0
min:molar_volume,0.0
min:num_unfilled,0.0
min:num_valance,0.0
min:num_d_unfilled,0.0
min:num_d_valence,0.0
min:num_f_unfilled,0.0
min:num_f_valence,0.0
min:num_p_unfilled,0.0
min:num_p_valence,0.0
min:num_s_unfilled,0.0
min:num_s_valence,0.0
min:period,0.0
min:specific_heat,0.0
min:thermal_conductivity,0.0
min:vdw_radius,0.0
min:vdw_radius_alvarez,0.0
min:vdw_radius_mm3,0.0
min:vdw_radius_uff,0.0
min:sound_velocity,0.0
min:Polarizability,0.0
